institute,inst,exper,uexper,bsth,cs,cs.rr
AU,205,STOP-Bygholm (07),205 STOP-Bygholm (07),0.29573,0.0808431666666667,72.6631837599612
AU,205,STOP-Foulum (09),205 STOP-Foulum (09),1.2913,0.735315,43.0562224115233
AU,205,Unter (a),205 Unter (a),0.11987825,0.087068,27.3696437844229
AU,205,Unter (b),205 Unter (b),0.09964825,0.0749315,24.8039980631873
DIAS,104,1,104 1,0.086527,0.200354,-131.550845400858
JTI,108,1,108 1,0.114114166666667,0.0107556666666667,90.5746438143088
SDU,211,B1,211 B1,0.0614069083333333,0.00626595,89.7960177933292
