"pmid"
195
197
490
492
506
514
530
533
566
575
581
591
911
912
915
917
945
952
957
958
961
1003
1147
1186
1187
1233
1453
1459
1474
1485
1504
1536
1690
1691
1707
1737
1776
1791
1809
1823
1836
1839
1854
1864
1867
1869
1870
1899
