inst,eid,pid,pmid,uptake,proj,exper,exper2,institute,country,submitter,file,first.row.in.file.int,last.row.in.file.int,row.in.file.plot,pub.id,pub.info,lat,long,topo,field,plot,plot.area,treat,rep,rep2,n.ints,t.start.p,t.end.p,dt1,dt.min,dt.max,ct.min,ct.max,meas.tech,meas.tech2,meas.tech.orig,meas.tech.det,j.NH31,j.rel1,e.1,e.4,e.6,e.12,e.24,e.48,e.72,e.96,e.168,e.final,e.cum.1,e.cum.4,e.cum.6,e.cum.12,e.cum.24,e.cum.48,e.cum.72,e.cum.96,e.cum.168,e.cum.final,e.rel.1,e.rel.4,e.rel.6,e.rel.12,e.rel.24,e.rel.48,e.rel.72,e.rel.96,e.rel.168,e.rel.final,clay,silt,sand,oc,soil.type,soil.type2,soil.water,soil.water.v,soil.moist,soil.ph,soil.dens,crop.res,till,air.temp.1,air.temp.4,air.temp.6,air.temp.12,air.temp.24,air.temp.48,air.temp.72,air.temp.96,air.temp.168,air.temp.mn,air.temp.z,soil.temp.1,soil.temp.4,soil.temp.6,soil.temp.12,soil.temp.24,soil.temp.48,soil.temp.72,soil.temp.96,soil.temp.168,soil.temp.mn,soil.temp.surf.1,soil.temp.surf.4,soil.temp.surf.6,soil.temp.surf.12,soil.temp.surf.24,soil.temp.surf.48,soil.temp.surf.72,soil.temp.surf.96,soil.temp.surf.168,soil.temp.surf.mn,soil.temp.z,rad.1,rad.4,rad.6,rad.12,rad.24,rad.48,rad.72,rad.96,rad.168,rad.mn,wind.1,wind.4,wind.6,wind.12,wind.24,wind.48,wind.72,wind.96,wind.168,wind.mn,wind.z,wind.2m.1,wind.2m.4,wind.2m.6,wind.2m.12,wind.2m.24,wind.2m.48,wind.2m.72,wind.2m.96,wind.2m.168,wind.2m.mn,wind.loc,rain.1,rain.4,rain.6,rain.12,rain.24,rain.48,rain.72,rain.96,rain.168,rain.tot,rain.rate.1,rain.rate.4,rain.rate.6,rain.rate.12,rain.rate.24,rain.rate.48,rain.rate.72,rain.rate.96,rain.rate.168,rain.rate.mn,rh.1,rh.4,rh.6,rh.12,rh.24,rh.48,rh.72,rh.96,rh.168,rh.mn,far.loc,man.source,man.source.orig,man.source.det,man.bed,man.con,man.trt1,man.trt2,man.trt3,man.stor,man.dm,man.vs,man.tkn,man.tan,man.vfa,man.tic,man.ua,man.ph,acid,date.start,app.start,app.start.orig,app.end,app.end.orig,app.method,app.method2,app.method.orig,app.rate,tan.app,incorp,incorp.orig,time.incorp,man.area,dist.inj,furrow.z,furrow.w,crop,crop.orig,crop.z,crop.area,lai,notes.plot,flag.plot,app.mthd,uexper
103,34,161,161,1,4,4,24,CRPA,IT,,ALFAM1.xlsx,1275,1277,,,,,,,,3,,1,3,3,3,1999-04-07T15:00:00Z,1999-04-10T13:32:00Z,24,22.533,24,24,70.533,wt,wt,Wind tunnel,,0.8171,0.0063637,,,,,19.61,28.01,,,,32.871,,,,,,,,,,,,,,,0.15273,0.21815,,,,0.256,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,14.89,12.585,12.347,,,12.347,2,,,,,11.5,11.3,11.14,,,11.14,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.71,0.71,0.71,,,0.71,0.25,,,,,1.1687,1.1687,1.1687,,,1.1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,2.45,,4.87,3.21,,,,7.5,FALSE,1999-04-07,,,,,bsth,band,Band spread or trailing hose,40,128.4,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,103 4
105,97,450,450,1,NW257,13,13,IGER,UK,,ALFAM1.xlsx,5380,5384,,,,,,,,2,,2,1,1,5,1999-06-09T15:25:00Z,1999-06-14T19:50:00Z,2.4333,2.4333,76.483,2.4333,124.42,ihf,micro met,Micro met,,-0.0756,-0.0034492,,-0.099513,-0.013851,0.094151,0.31076,0.95749,1.1495,1.3415,,1.5688,,,,,,,,,,,,-0.0045402,-0.00063192,0.0042957,0.014179,0.043684,0.052444,0.061204,,0.071577,,,,,clay,clay,,,wet,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.2,489.2,188.28,182.65,182.65,,,194.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,Cattle,,Sawdust,slurry,None,none,,,4.43,,2.16,0.78,,,,6.8,FALSE,1999-06-09,,,,,os,os,Open slot,28.1,21.918,none,None,0,,,,,grass,Grass,12.2,,,"","",os,105 13
105,97,451,451,1,NW257,13,13,IGER,UK,,ALFAM1.xlsx,5385,5389,,,,,,,,3,,3,1,1,5,1999-06-09T16:26:00Z,1999-06-14T19:50:00Z,1.4833,1.4833,76.417,1.4833,123.4,ihf,micro met,Micro met,,0.364,0.0073719,,2.4043,2.8575,3.3639,4.3514,5.7402,6.2418,6.7433,,7.316,,,,,,,,,,,,0.048692,0.057871,0.068127,0.088126,0.11625,0.12641,0.13657,,0.14817,,,,,clay,clay,,,wet,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.38,505.38,178.96,177.98,177.98,,,193.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,Cattle,,Sawdust,slurry,None,none,,,4.85,,2.23,1.09,,,,6.86,FALSE,1999-06-09,,,,,bsth,band,Band spread or trailing hose,45.3,49.377,none,None,0,,,,,grass,Grass,11.5,,,"","",bsth,105 13
105,99,455,455,1,NW257,15,15,IGER,UK,,ALFAM1.xlsx,5405,5408,,,,,,,,2,,2,1,1,4,1999-07-21T14:20:00Z,1999-07-26T13:15:00Z,4.7667,4.7667,67.1,4.7667,118.92,ihf,micro met,Micro met,,1.4091,0.048239,,,6.8046,7.2318,8.0862,9.181,9.6613,10.06,,10.44,,,,,,,,,,,,,0.23295,0.24757,0.27682,0.3143,0.33075,0.34439,,0.35741,,,,,loam,loam,,,dry,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.83,405.83,405.83,249.82,201.81,,,233.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,Cattle,,Sawdust,slurry,None,none,,,3.72,,1.96,1.07,,,,7.24,FALSE,1999-07-21,,,,,os,os,Open slot,27.3,29.211,none,None,0,,,,,grass,Grass,11.5,,,"","",os,105 15
105,99,456,456,1,NW257,15,15,IGER,UK,,ALFAM1.xlsx,5409,5412,,,,,,,,3,,3,1,1,4,1999-07-21T16:50:00Z,1999-07-26T13:08:00Z,4.0833,4.0833,67.133,4.0833,116.3,ihf,micro met,Micro met,,1.4537,0.061296,,,6.1176,6.6864,7.824,8.5212,8.6799,8.8215,,8.9413,,,,,,,,,,,,,0.25795,0.28194,0.32991,0.35931,0.366,0.37197,,0.37702,,,,,loam,loam,,,dry,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.6,342.6,342.6,228.7,187.6,,,228.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,Cattle,,Sawdust,slurry,None,none,,,3.19,,2,0.98,,,,7.18,FALSE,1999-07-21,,,,,bsth,band,Band spread or trailing hose,24.2,23.716,none,None,0,,,,,grass,Grass,11.5,,,"","",bsth,105 15
107,162,623,623,1,IUL/FAT92-96,F19,19,IUL/FAT,CH,,ALFAM1.xlsx,2907,2916,,,,,,,,2,,1,,1,10,1994-07-13T14:20:00Z,1994-07-15T22:02:00Z,1.2333,1.2333,12.067,1.2333,55.7,zinst,micro met,Micro met,,0.8999,0.034624,,3.0084,3.4471,3.7489,3.8807,3.9238,,,,3.9739,,,,,,,,,,,,0.11575,0.13262,0.14424,0.14931,0.15097,,,,0.1529,49.5,27.8,16.2,6.5,clay,clay,,,dry,7.4,,,No,,,25.877,26.427,22.329,21.434,21.819,,,21.819,,,,23.807,24.83,24.114,23.72,23.681,,,23.681,,,,,,,,,,,,,,686.89,485.09,240.05,213,273.12,,,273.12,,,1.6758,1.7007,1.2694,1.3111,1.4667,,,1.4667,2,,,1.6758,1.7007,1.2694,1.3111,1.4667,,,1.4667,,,,0,0,0,2.7,2.7,,,2.7,,,0,0,0,0.058759,0.048474,,,0.048474,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,3.4,,1.64,0.79,,,,,FALSE,1994-07-13,,,,,os,os,Open slot,32.9,25.991,none,None,,,,,,grass,Grass,5,,,"Emission error. Emission measurements are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., Emission error. Emission data are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., ",e,os,107 F19
107,162,624,624,1,IUL/FAT92-96,F19,19,IUL/FAT,CH,,ALFAM1.xlsx,2927,2936,,,,,,,,3,,3,,1,10,1994-07-13T13:47:00Z,1994-07-15T22:04:00Z,1.5,1.5,12.1,1.5,56.283,zinst,micro met,Micro met,,1.5383,0.066915,,4.2693,5.3455,6.4393,6.8091,7.1682,,,,7.415,,,,,,,,,,,,0.18571,0.23253,0.28011,0.29619,0.31181,,,,0.32255,49.5,27.8,16.2,6.5,clay,clay,,,dry,7.4,,,No,,,25.587,26.308,22.401,21.454,21.827,,,21.827,,,,23.738,24.753,24.094,23.719,23.682,,,23.682,,,,,,,,,,,,,,671.44,494.27,248.21,216.19,274.63,,,274.63,,,1.5949,1.6487,1.4443,1.4781,1.5746,,,1.5746,2,,,1.5949,1.6487,1.4443,1.4781,1.801,,,1.801,,,,0,0,0,2.7,2.7,,,2.7,,,0,0,0,0.05792,0.047972,,,0.047972,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,3.4,,1.64,0.79,,,,,FALSE,1994-07-13,,,,,bsth,band,Band spread or trailing hose,29.1,22.989,none,None,,,,,,grass,Grass,5,,,"Emission error. Emission measurements are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., Emission error. Emission data are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., ",e,bsth,107 F19
107,169,643,643,1,IUL/FAT92-96,F8,8,IUL/FAT,CH,,ALFAM1.xlsx,2587,2596,,,,,,,,2,,1,,1,10,1993-07-07T13:53:00Z,1993-07-09T21:05:00Z,1.3333,1.3333,12.55,1.3333,55.2,zinst,micro met,Micro met,,1.0824,0.043762,,3.8758,5.5674,7.2459,7.848,9.1529,,,,9.1529,,,,,,,,,,,,0.1567,0.22509,0.29295,0.3173,0.37005,,,,0.37005,49.5,27.8,16.2,6.5,clay,clay,,,wet,7.4,,,No,,,16.881,18.23,14.349,15.151,16.276,,,16.276,,,,20.613,21.483,20.61,20.957,21.166,,,21.166,,,,,,,,,,,,,,869.57,689.24,334.96,335.21,399.99,,,399.99,,,1.4255,1.5263,1.1259,1.1249,1.3011,,,1.3011,2,,,1.4255,1.5263,1.1259,1.1249,1.3011,,,1.3011,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,,,0,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,2.8,,1.5,0.83,,,,,FALSE,1993-07-07,,,,,bsth,band,Band spread or trailing hose,29.8,24.734,none,None,,,,,,grass,Grass,5,,,"Emission error. Emission measurements are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., Emission error. Emission data are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., ",e,bsth,107 F8
107,169,644,644,1,IUL/FAT92-96,F8,8,IUL/FAT,CH,,ALFAM1.xlsx,2597,2606,,,,,,,,3,,2,,1,10,1993-07-07T13:11:00Z,1993-07-09T21:02:00Z,1.9833,1.7333,12.55,1.9833,55.85,zinst,micro met,Micro met,,0.4695,0.017844,,1.9073,2.8085,4.4687,4.9826,6.3957,,,,6.3957,,,,,,,,,,,,0.072491,0.10674,0.16985,0.18938,0.24308,,,,0.24308,49.5,27.8,16.2,6.5,clay,clay,,,wet,7.4,,,No,,,16.363,17.907,14.347,15.13,16.237,,,16.237,,,,20.475,21.363,20.579,20.938,21.147,,,21.147,,,,,,,,,,,,,,840.54,687.92,344.29,340.4,404.29,,,404.29,,,1.4743,1.5596,1.2487,1.2181,1.3874,,,1.3874,2,,,1.4743,1.5596,1.2487,1.2181,1.3874,,,1.3874,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,,,0,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,2.8,,1.5,0.83,,,,,FALSE,1993-07-07,,,,,os,os,Open slot,31.7,26.311,none,None,,,,,,grass,Grass,5,,,"Emission error. Emission measurements are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., Emission error. Emission data are thought to be inaccurate. See ALFAM2 database paper along with Haeni et al. (2016) (Atmos. Environ. 125: 92-99)., ",e,os,107 F8
108,181,713,713,1,2173,7,7,JTI,SE,,ALFAM1.xlsx,3516,3516,,,,,,,,E,,1,1,1,1,1993-05-04T15:00:00Z,1993-05-06T21:00:00Z,54,54,54,54,54,chamber,chamber,Dynamic chamber,,0.3,0.0054348,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,0.29348,32.5,,,,clay,clay,,,wet,6.5,,,No,,,,,,,10,,,10,1.5,,,,,,,13.8,,,13.8,,,,,,,,,,,0,,,,,,,,,,,,,,,,,3.7,,,3.7,2,,,,,,,3.7,,,3.7,,,,,,,,0,,,0,,,,,,,0,,,0,,,,,,,,,,,,cat,Cattle,,Straw,slurry,None,none,,,8.7,,3.9,2.4,,,,8.1,FALSE,1993-05-04,,,,,bsth,band,Band spread or trailing hose,23,55.2,none,None,,,,,,grass,Grass,,,,"","",bsth,108 7
