temperature_celsius,windspeed_km_h,precipitation_mm,relative_emission in Percont of TAN applied,relative_emission_percentiles,historical_relative_emission_percentiles,total_precipitation_next_48h,total_precipitation_last_24h,runoff_risk,time,windspeed_m_s
9.47809828056242,3.8889541319513,0,0.229304017759402,1,2,0,0,0,2025-05-15T06:00:00Z,1.08026503665314
11.4028233963783,4.44856154977273,0,0.231626957362254,1,2,0,0,0,2025-05-15T07:00:00Z,1.23571154160354
13.4658113136965,4.47511299041982,0,0.233743192753495,2,2,0,0,0,2025-05-15T08:00:00Z,1.24308694178328
15.3267609679198,5.02120941985358,0,0.235568125029255,2,2,0,0,0,2025-05-15T09:00:00Z,1.39478039440377
16.5660543500086,6.49422312806081,0,0.237030207011784,2,2,0,0,0,2025-05-15T10:00:00Z,1.80395086890578
17.8155237407805,7.69269236680371,0,0.238037856735583,2,2,0,0,0,2025-05-15T11:00:00Z,2.13685899077881
18.7564136740891,9.04011322474534,0,0.238466038511605,2,2,0,0,0,2025-05-15T12:00:00Z,2.51114256242926
19.3834967914354,9.92830905188507,0,0.238321541506166,2,2,0,0,0,2025-05-15T13:00:00Z,2.75786362552363
19.6873592878659,11.5128101364453,0,0.237079292797795,2,2,0,0,0,2025-05-15T14:00:00Z,3.19800281567925
19.5493191260091,12.4187787619039,0,0.234687184822555,2,2,0,0,0,2025-05-15T15:00:00Z,3.44966076719553
18.9881458994203,12.3899098158853,0,0.231664619109528,1,2,0,0,0,2025-05-15T16:00:00Z,3.44164161552369
18.0156304162309,12.4000854617703,0,0.228442260986987,1,2,0,0,0,2025-05-15T17:00:00Z,3.44446818382509
17.070880016974,12.0747541989289,0,0.225377428637189,0,2,0,0,0,2025-05-15T18:00:00Z,3.35409838859135
15.721106468014,12.2668004463272,0,0.222784641507554,0,2,0,0,0,2025-05-15T19:00:00Z,3.40744456842423
13.9692457844321,12.0765444413407,0,0.221372786580549,0,2,0,0,0,2025-05-15T20:00:00Z,3.35459567815018
12.4197028971334,12.4458977650029,0,0.220729498284761,0,2,0,0,0,2025-05-15T21:00:00Z,3.4571938236119
11.2612170256401,13.311503855034,0,0.220424334340247,0,2,0,0,0,2025-05-15T22:00:00Z,3.69763995973167
10.3458741478995,13.311503855034,0,0.220606958611272,0,2,0,0,0,2025-05-15T23:00:00Z,3.69763995973167
9.4204930093632,13.3823763438678,0,0.221245748967837,0,2,0,0,0,2025-05-16T00:00:00Z,3.7173267621855
8.4286269382103,13.2595856544135,0,0.222379444588284,0,2,0,0,0,2025-05-16T01:00:00Z,3.68321823733708
7.48377661274165,13.1953828853924,0,0.22393173537836,0,2,0,0,0,2025-05-16T02:00:00Z,3.66538413483122
6.7903058519933,12.9846433378605,0,0.225817268844385,1,2,0,0,0,2025-05-16T03:00:00Z,3.60684537162791
6.31759442360999,12.9137708490267,0,0.227947745518151,1,2,0,0,0,2025-05-16T04:00:00Z,3.58715856917408
6.12744702135302,12.7267773905513,0,0.230276502744876,1,2,0,0,0,2025-05-16T05:00:00Z,3.5352159418198
6.63316011481263,12.800611527703,0,0.232676517513297,1,2,0,0,0,2025-05-16T06:00:00Z,3.55572542436193
7.93995442219845,13.8553172707727,0,0.234936805041504,2,2,0,0,0,2025-05-16T07:00:00Z,3.8486992418813
9.90501181989308,15.2469267585949,0,0.23682648029424,2,2,0,0,0,2025-05-16T08:00:00Z,4.23525743294302
11.6498190181765,16.5815725930596,0,0.238255426834192,2,2,0,0,0,2025-05-16T09:00:00Z,4.60599238696101
12.9938147310507,17.9364311159285,0,0.239156369615623,2,2,0,0,0,2025-05-16T10:00:00Z,4.9823419766468
14.1110079891871,19.5691936036683,0,0.239205373995432,2,2,0,0,0,2025-05-16T11:00:00Z,5.43588711213008
14.9826531543365,19.8492587771834,0,0.23847983854997,2,2,0,0,0,2025-05-16T12:00:00Z,5.51368299366205
15.7335303202575,19.9720494666377,0,0.236486023871578,2,2,0,0,0,2025-05-16T13:00:00Z,5.54779151851047
16.2543110832047,19.6129464956793,0,0.232717481528425,2,2,0,0,0,2025-05-16T14:00:00Z,5.44804069324425
16.4909815015357,18.2131227816774,0,0.227454950808809,1,2,0,0,0,2025-05-16T15:00:00Z,5.05920077268817
16.5609678211954,16.3611243816774,0,0.22114886129793,0,1,0,0,0,2025-05-16T16:00:00Z,4.54475677268817
16.3466115419471,14.4825745410303,0,0.214529521847851,0,1,0,0,0,2025-05-16T17:00:00Z,4.02293737250842
15.5393755272371,12.8175695995057,0,0.20882722539205,0,1,0,0,0,2025-05-16T18:00:00Z,3.5604359998627
14.0404160674272,11.4577152126222,0,0.2050637650116,0,1,0,0,0,2025-05-16T19:00:00Z,3.18269867017284
11.9535021797482,9.36452273114458,0,0.203895712061821,0,1,0,0,0,2025-05-16T20:00:00Z,2.60125631420683
10.2880578904982,8.709957498584,0,0.203850465381957,0,2,0,0,0,2025-05-16T21:00:00Z,2.41943263849555
9.27036428179725,7.64183386904294,0,0.204531501590416,0,2,0,0,0,2025-05-16T22:00:00Z,2.12273163028971
8.67709500633418,7.33668522522917,0,0.205529509298396,0,2,0,0,0,2025-05-16T23:00:00Z,2.03796811811921
8.16811103944833,7.0315365814154,0,0.206799206086296,0,2,0,0,0,2025-05-17T00:00:00Z,1.95320460594872
7.60555471411291,6.50918624103819,0,0.208365699783439,0,2,0,0,0,2025-05-17T01:00:00Z,1.80810728917727
7.12046419789366,6.05933097123896,0,0.21017261524618,0,2,0,0,0,2025-05-17T02:00:00Z,1.68314749201082
