country,institute,meas.tech2,err1.mean,err2.mean,err1.sd,err2.sd,err1.n,err2.n
UK,ADAS-RR,micro met,-0.012755778521632,0.00913453401905997,0.13256525073123,0.108888394823182,109,109
CA,ARDC,micro met,-0.20563170943033,-0.139838062660179,0.166543091393143,0.163959187085598,7,7
DK,AT,micro met,-0.0252927339770235,-0.026196965599668,0.115759084592498,0.0777557885518196,17,17
DK,AU,micro met,-0.01231750699958,-0.0374714172073077,0.0827473169967074,0.0808106323247569,44,44
NL,AU,micro met,-0.01711808323069,-0.00700133952277278,0.0510095659878947,0.0403929335761406,4,4
DE,CAU-LU,micro met,-0.0331405746738368,0.00759696064636352,0.0743792642750343,0.0729371087124272,9,9
DK,DIAS,micro met,0.0541608021284273,0.0728133211563126,0.126372815120016,0.135799393741761,30,30
IT,DiSAA-IT,micro met,0.292974297680303,0.282309489665697,0.071776769358289,0.0423516171732434,3,3
UK,IGER,micro met,-0.044587596942336,-0.0146861940117614,0.151257746939361,0.143588161379591,31,31
NL,IMAG,micro met,-0.10420012921285,-0.0340300645917134,0.212965227734921,0.187330852049258,111,111
CH,INH-HAFL,micro met,-0.0142956705061986,0.00544217500049266,0.0575437645906161,0.0524711772813413,46,46
FR,INRA,micro met,0.0368746662594241,0.0630964970782581,0.147551767070793,0.145689131191281,18,18
IT,MU,micro met,0.00462750432799552,-0.0435223565113315,0.152836196601061,0.0852523313254048,7,7
NL,NMI-WUR,micro met,-0.0851957164108382,0.0354394806323059,0.216252953498157,0.244915675426158,3,3
IE,TEAGASC,micro met,0.0119960940579203,-0.0186384499042748,0.159397672359135,0.152140309094913,49,49
IT,UNIMI,micro met,0.0910581041922978,-0.067026646585959,0.148960784287266,0.0550882462629471,4,4
IT,UNINA,micro met,-0.301678006087427,-0.288439957954907,0.107309267711872,0.145611336226304,2,2
US,USDA,micro met,-0.167068179097282,0.0281766006841458,0.0748475633965199,0.161170542520922,2,2
NL,WUR,micro met,-0.125192597249919,-0.0796010027506519,0.265588143457941,0.24295634097499,134,134
CA,AAFC,wt,0.0630869909237358,0.167020881365219,0.183304628359075,0.161374918607704,76,76
UK,ADAS,wt,-0.165594387631986,-0.156325791882347,0.201074599524812,0.203907893831114,67,67
CA,ARDC,wt,-0.068100123713285,0.0319105737181301,0.109500009798887,0.129697099658312,48,48
CA,AU,wt,-0.0276541383942225,0.0138169163905788,0.095147188337187,0.0876574036733662,60,60
DK,AU,wt,-0.0251551599887062,-0.0623851876495959,0.134424715877208,0.14617678533795,191,191
NL,AU,wt,-0.170746597968924,-0.180827152519215,0.0377207534938662,0.0354738072395199,9,9
SE,AU,wt,-0.213587528781575,-0.148213629756299,0.0853245551946289,0.141668237488252,18,18
IT,CRPA,wt,-0.118172205849036,-0.135722431872953,0.246215243586685,0.236116410197596,59,59
DK,DIAS,wt,0.070052145302899,0.153278239848307,0.112313515571842,0.107741147224609,14,14
UK,IGER,wt,-0.255497123548841,-0.171200071895305,0.218923955042253,0.219189760628152,194,194
CH,IUL/FAT,wt,-0.407239767382492,-0.376765646534759,0.152066841368302,0.167495411400517,66,66
NL,NMI-WUR,wt,-0.33727815552465,-0.0212210181015351,0.0721657336330654,0.0698679183902914,4,4
IT,UNINA,wt,-0.0056908615812421,0.00633295240669483,0.0706090808000643,0.0677617705324974,5,5
